long_province,long_district,long_ward,ward_level
Thành phố Hà Nội,Quận Hoàng Mai,Phường Thanh Trì,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Định Công,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Mai Động,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Tương Mai,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Tân Mai,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Giáp Bát,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Lĩnh Nam,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Thịnh Liệt,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Trần Phú,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,Phường
Thành phố Hà Nội,Quận Hoàng Mai,Phường Yên Sở,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Thượng Đình,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Khương Trung,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Khương Mai,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Phương Liệt,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Hạ Đình,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Khương Đình,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Bắc,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Nam,Phường
Thành phố Hà Nội,Quận Thanh Xuân,Phường Kim Giang,Phường
Thành phố Hà Nội,Huyện Sóc Sơn,Thị trấn Sóc Sơn,Thị trấn
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Hồng Kỳ,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Nam Sơn,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Trung Giã,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tân Hưng,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Minh Phú,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Phú,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tân Minh,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Quang Tiến,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Hiền Ninh,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tân Dân,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tiên Dược,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Việt Long,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Xuân Giang,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Mai Đình,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Đức Hoà,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Thanh Xuân,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Đông Xuân,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Kim Lũ,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phú Cường,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phú Minh,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Lỗ,Xã
Thành phố Hà Nội,Huyện Sóc Sơn,Xã Xuân Thu,Xã
Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh,Thị trấn
Thành phố Hà Nội,Huyện Đông Anh,Xã Xuân Nộn,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Thuỵ Lâm,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Bắc Hồng,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Nguyên Khê,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Nam Hồng,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Tiên Dương,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Vân Hà,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Uy Nỗ,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Vân Nội,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Liên Hà,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Việt Hùng,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Nỗ,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Kim Chung,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Dục Tú,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Đại Mạch,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Vĩnh Ngọc,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Cổ Loa,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Hải Bối,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Xuân Canh,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Võng La,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Tàm Xá,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Mai Lâm,Xã
Thành phố Hà Nội,Huyện Đông Anh,Xã Đông Hội,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Yên Viên,Thị trấn
Thành phố Hà Nội,Huyện Gia Lâm,Xã Yên Thường,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Yên Viên,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Ninh Hiệp,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đình Xuyên,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Hà,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Phù Đổng,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Trung Mầu,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Lệ Chi,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Phú Thị,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Kim Sơn,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,Thị trấn
Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Xá,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đông Dư,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đa Tốn,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Kiêu Kỵ,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Bát Tràng,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Kim Lan,Xã
Thành phố Hà Nội,Huyện Gia Lâm,Xã Văn Đức,Xã
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Xuân Phương,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Phương Canh,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Tây Mỗ,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mễ Trì,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Phú Đô,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,Phường
Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Trung Văn,Phường
Thành phố Hà Nội,Huyện Thanh Trì,Thị trấn Văn Điển,Thị trấn
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tân Triều,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tả Thanh Oai,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Hữu Hoà,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Yên Mỹ,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Vĩnh Quỳnh,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Ngũ Hiệp,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Duyên Hà,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Vạn Phúc,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Đại áng,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Liên Ninh,Xã
Thành phố Hà Nội,Huyện Thanh Trì,Xã Đông Mỹ,Xã
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Thượng Cát,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Liên Mạc,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Đông Ngạc,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Đức Thắng,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Thụy Phương,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Tây Tựu,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Xuân Tảo,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Minh Khai,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Phú Diễn,Phường
Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Phúc Diễn,Phường
Thành phố Hà Nội,Huyện Mê Linh,Thị trấn Chi Đông,Thị trấn
Thành phố Hà Nội,Huyện Mê Linh,Xã Đại Thịnh,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Kim Hoa,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Thạch Đà,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tiến Thắng,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tự Lập,Xã
Thành phố Hà Nội,Huyện Mê Linh,Thị trấn Quang Minh,Thị trấn
Thành phố Hà Nội,Huyện Mê Linh,Xã Thanh Lâm,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tam Đồng,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Liên Mạc,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Vạn Yên,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Chu Phan,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tiến Thịnh,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Văn Khê,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Hoàng Kim,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tiền Phong,Xã
Thành phố Hà Nội,Huyện Mê Linh,Xã Tráng Việt,Xã
Thành phố Hà Nội,Quận Hà Đông,Phường Nguyễn Trãi,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Mộ Lao,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Văn Quán,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Vạn Phúc,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Yết Kiêu,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Quang Trung,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường La Khê,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Phú La,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Phúc La,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Hà Cầu,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Kiến Hưng,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Phú Lãm,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Phú Lương,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Dương Nội,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Đồng Mai,Phường
Thành phố Hà Nội,Quận Hà Đông,Phường Biên Giang,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Lê Lợi,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Phú Thịnh,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Ngô Quyền,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Quang Trung,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Sơn Lộc,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Xuân Khanh,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Đường Lâm,Xã
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Viên Sơn,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Xuân Sơn,Xã
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Trung Hưng,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Thanh Mỹ,Xã
Thành phố Hà Nội,Thị xã Sơn Tây,Phường Trung Sơn Trầm,Phường
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Kim Sơn,Xã
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Sơn Đông,Xã
Thành phố Hà Nội,Thị xã Sơn Tây,Xã Cổ Đông,Xã
Thành phố Hà Nội,Huyện Ba Vì,Thị trấn Tây Đằng,Thị trấn
Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Cường,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Cổ Đô,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Tản Hồng,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Vạn Thắng,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Châu Sơn,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Phong Vân,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Đông,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Phương,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Châu,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Thái Hòa,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Đồng Thái,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Phú Sơn,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Minh Châu,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Vật Lại,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Chu Minh,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Tòng Bạt,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Cẩm Lĩnh,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Sơn Đà,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Đông Quang,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Tiên Phong,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Thụy An,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Cam Thượng,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Thuần Mỹ,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Tản Lĩnh,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Ba Trại,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Minh Quang,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Ba Vì,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Vân Hòa,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Yên Bài,Xã
Thành phố Hà Nội,Huyện Ba Vì,Xã Khánh Thượng,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Thị trấn Phúc Thọ,Thị trấn
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Vân Hà,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Vân Phúc,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Vân Nam,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Xuân Đình,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Sen Phương,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Võng Xuyên,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Long Xuyên,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thượng Cốc,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Hát Môn,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tích Giang,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Trạch Mỹ Lộc,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Phúc Hòa,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Ngọc Tảo,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Phụng Thượng,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Thuấn,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Hiệp Thuận,Xã
Thành phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Thị trấn Phùng,Thị trấn
Thành phố Hà Nội,Huyện Đan Phượng,Xã Trung Châu,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Thọ An,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Thọ Xuân,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Hồng Hà,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Hồng,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Hà,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Hạ Mỗ,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Trung,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Phương Đình,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Thượng Mỗ,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Lập,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Đan Phượng,Xã
Thành phố Hà Nội,Huyện Đan Phượng,Xã Đồng Tháp,Xã
