province,district,ward,long_province,long_district,long_ward,short_district,short_ward,province_english,district_english,ward_english,long_province_english,long_district_english,long_ward_english,short_district_english,short_ward_english,district_level,ward_level,district_level_english,ward_level_english
Hà Nội,Hoàn Kiếm,Tràng Tiền,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Hoàn Kiếm,Tràng Tiền,Ha Noi,Hoan Kiem,Trang Tien,Ha Noi City,Hoan Kiem District,Trang Tien Ward,Hoan Kiem,Trang Tien,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Hoàn Kiếm,Trần Hưng Đạo,Ha Noi,Hoan Kiem,Tran Hung Dao,Ha Noi City,Hoan Kiem District,Tran Hung Dao Ward,Hoan Kiem,Tran Hung Dao,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Hoàn Kiếm,Phan Chu Trinh,Ha Noi,Hoan Kiem,Phan Chu Trinh,Ha Noi City,Hoan Kiem District,Phan Chu Trinh Ward,Hoan Kiem,Phan Chu Trinh,Quận,Phường,District,Ward
Hà Nội,Hoàn Kiếm,Hàng Bài,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài,Hoàn Kiếm,Hàng Bài,Ha Noi,Hoan Kiem,Hang Bai,Ha Noi City,Hoan Kiem District,Hang Bai Ward,Hoan Kiem,Hang Bai,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Phú Thượng,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Tây Hồ,Phú Thượng,Ha Noi,Tay Ho,Phu Thuong,Ha Noi City,Tay Ho District,Phu Thuong Ward,Tay Ho,Phu Thuong,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Nhật Tân,Thành phố Hà Nội,Quận Tây Hồ,Phường Nhật Tân,Tây Hồ,Nhật Tân,Ha Noi,Tay Ho,Nhat Tan,Ha Noi City,Tay Ho District,Nhat Tan Ward,Tay Ho,Nhat Tan,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Tứ Liên,Thành phố Hà Nội,Quận Tây Hồ,Phường Tứ Liên,Tây Hồ,Tứ Liên,Ha Noi,Tay Ho,Tu Lien,Ha Noi City,Tay Ho District,Tu Lien Ward,Tay Ho,Tu Lien,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Quảng An,Thành phố Hà Nội,Quận Tây Hồ,Phường Quảng An,Tây Hồ,Quảng An,Ha Noi,Tay Ho,Quang An,Ha Noi City,Tay Ho District,Quang An Ward,Tay Ho,Quang An,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Xuân La,Thành phố Hà Nội,Quận Tây Hồ,Phường Xuân La,Tây Hồ,Xuân La,Ha Noi,Tay Ho,Xuan La,Ha Noi City,Tay Ho District,Xuan La Ward,Tay Ho,Xuan La,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Yên Phụ,Thành phố Hà Nội,Quận Tây Hồ,Phường Yên Phụ,Tây Hồ,Yên Phụ,Ha Noi,Tay Ho,Yen Phu,Ha Noi City,Tay Ho District,Yen Phu Ward,Tay Ho,Yen Phu,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Bưởi,Thành phố Hà Nội,Quận Tây Hồ,Phường Bưởi,Tây Hồ,Bưởi,Ha Noi,Tay Ho,Buoi,Ha Noi City,Tay Ho District,Buoi Ward,Tay Ho,Buoi,Quận,Phường,District,Ward
Hà Nội,Tây Hồ,Thụy Khuê,Thành phố Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,Tây Hồ,Thụy Khuê,Ha Noi,Tay Ho,Thuy Khue,Ha Noi City,Tay Ho District,Thuy Khue Ward,Tay Ho,Thuy Khue,Quận,Phường,District,Ward
Hà Nội,Long Biên,Thượng Thanh,Thành phố Hà Nội,Quận Long Biên,Phường Thượng Thanh,Long Biên,Thượng Thanh,Ha Noi,Long Bien,Thuong Thanh,Ha Noi City,Long Bien District,Thuong Thanh Ward,Long Bien,Thuong Thanh,Quận,Phường,District,Ward
Hà Nội,Long Biên,Ngọc Thụy,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Thụy,Long Biên,Ngọc Thụy,Ha Noi,Long Bien,Ngoc Thuy,Ha Noi City,Long Bien District,Ngoc Thuy Ward,Long Bien,Ngoc Thuy,Quận,Phường,District,Ward
Hà Nội,Long Biên,Giang Biên,Thành phố Hà Nội,Quận Long Biên,Phường Giang Biên,Long Biên,Giang Biên,Ha Noi,Long Bien,Giang Bien,Ha Noi City,Long Bien District,Giang Bien Ward,Long Bien,Giang Bien,Quận,Phường,District,Ward
Hà Nội,Long Biên,Đức Giang,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang,Long Biên,Đức Giang,Ha Noi,Long Bien,Duc Giang,Ha Noi City,Long Bien District,Duc Giang Ward,Long Bien,Duc Giang,Quận,Phường,District,Ward
Hà Nội,Long Biên,Việt Hưng,Thành phố Hà Nội,Quận Long Biên,Phường Việt Hưng,Long Biên,Việt Hưng,Ha Noi,Long Bien,Viet Hung,Ha Noi City,Long Bien District,Viet Hung Ward,Long Bien,Viet Hung,Quận,Phường,District,Ward
Hà Nội,Long Biên,Gia Thụy,Thành phố Hà Nội,Quận Long Biên,Phường Gia Thụy,Long Biên,Gia Thụy,Ha Noi,Long Bien,Gia Thuy,Ha Noi City,Long Bien District,Gia Thuy Ward,Long Bien,Gia Thuy,Quận,Phường,District,Ward
Hà Nội,Long Biên,Ngọc Lâm,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm,Long Biên,Ngọc Lâm,Ha Noi,Long Bien,Ngoc Lam,Ha Noi City,Long Bien District,Ngoc Lam Ward,Long Bien,Ngoc Lam,Quận,Phường,District,Ward
Hà Nội,Long Biên,Phúc Lợi,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Lợi,Long Biên,Phúc Lợi,Ha Noi,Long Bien,Phuc Loi,Ha Noi City,Long Bien District,Phuc Loi Ward,Long Bien,Phuc Loi,Quận,Phường,District,Ward
Hà Nội,Long Biên,Bồ Đề,Thành phố Hà Nội,Quận Long Biên,Phường Bồ Đề,Long Biên,Bồ Đề,Ha Noi,Long Bien,Bo De,Ha Noi City,Long Bien District,Bo De Ward,Long Bien,Bo De,Quận,Phường,District,Ward
Hà Nội,Long Biên,Sài Đồng,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng,Long Biên,Sài Đồng,Ha Noi,Long Bien,Sai Dong,Ha Noi City,Long Bien District,Sai Dong Ward,Long Bien,Sai Dong,Quận,Phường,District,Ward
Hà Nội,Long Biên,Long Biên,Thành phố Hà Nội,Quận Long Biên,Phường Long Biên,Long Biên,Long Biên,Ha Noi,Long Bien,Long Bien,Ha Noi City,Long Bien District,Long Bien Ward,Long Bien,Long Bien,Quận,Phường,District,Ward
Hà Nội,Long Biên,Thạch Bàn,Thành phố Hà Nội,Quận Long Biên,Phường Thạch Bàn,Long Biên,Thạch Bàn,Ha Noi,Long Bien,Thach Ban,Ha Noi City,Long Bien District,Thach Ban Ward,Long Bien,Thach Ban,Quận,Phường,District,Ward
Hà Nội,Long Biên,Phúc Đồng,Thành phố Hà Nội,Quận Long Biên,Phường Phúc Đồng,Long Biên,Phúc Đồng,Ha Noi,Long Bien,Phuc Dong,Ha Noi City,Long Bien District,Phuc Dong Ward,Long Bien,Phuc Dong,Quận,Phường,District,Ward
Hà Nội,Long Biên,Cự Khối,Thành phố Hà Nội,Quận Long Biên,Phường Cự Khối,Long Biên,Cự Khối,Ha Noi,Long Bien,Cu Khoi,Ha Noi City,Long Bien District,Cu Khoi Ward,Long Bien,Cu Khoi,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Nghĩa Đô,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Cầu Giấy,Nghĩa Đô,Ha Noi,Cau Giay,Nghia Do,Ha Noi City,Cau Giay District,Nghia Do Ward,Cau Giay,Nghia Do,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Nghĩa Tân,Thành phố Hà Nội,Quận Cầu Giấy,Phường Nghĩa Tân,Cầu Giấy,Nghĩa Tân,Ha Noi,Cau Giay,Nghia Tan,Ha Noi City,Cau Giay District,Nghia Tan Ward,Cau Giay,Nghia Tan,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Mai Dịch,Thành phố Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Cầu Giấy,Mai Dịch,Ha Noi,Cau Giay,Mai Dich,Ha Noi City,Cau Giay District,Mai Dich Ward,Cau Giay,Mai Dich,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Dịch Vọng,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Cầu Giấy,Dịch Vọng,Ha Noi,Cau Giay,Dich Vong,Ha Noi City,Cau Giay District,Dich Vong Ward,Cau Giay,Dich Vong,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Thành phố Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Cầu Giấy,Dịch Vọng Hậu,Ha Noi,Cau Giay,Dich Vong Hau,Ha Noi City,Cau Giay District,Dich Vong Hau Ward,Cau Giay,Dich Vong Hau,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Quan Hoa,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa,Cầu Giấy,Quan Hoa,Ha Noi,Cau Giay,Quan Hoa,Ha Noi City,Cau Giay District,Quan Hoa Ward,Cau Giay,Quan Hoa,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Yên Hòa,Thành phố Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Cầu Giấy,Yên Hòa,Ha Noi,Cau Giay,Yen Hoa,Ha Noi City,Cau Giay District,Yen Hoa Ward,Cau Giay,Yen Hoa,Quận,Phường,District,Ward
Hà Nội,Cầu Giấy,Trung Hòa,Thành phố Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Cầu Giấy,Trung Hòa,Ha Noi,Cau Giay,Trung Hoa,Ha Noi City,Cau Giay District,Trung Hoa Ward,Cau Giay,Trung Hoa,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Cát Linh,Thành phố Hà Nội,Quận Đống Đa,Phường Cát Linh,Đống Đa,Cát Linh,Ha Noi,Dong Da,Cat Linh,Ha Noi City,Dong Da District,Cat Linh Ward,Dong Da,Cat Linh,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Văn Miếu,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Miếu,Đống Đa,Văn Miếu,Ha Noi,Dong Da,Van Mieu,Ha Noi City,Dong Da District,Van Mieu Ward,Dong Da,Van Mieu,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Quốc Tử Giám,Thành phố Hà Nội,Quận Đống Đa,Phường Quốc Tử Giám,Đống Đa,Quốc Tử Giám,Ha Noi,Dong Da,Quoc Tu Giam,Ha Noi City,Dong Da District,Quoc Tu Giam Ward,Dong Da,Quoc Tu Giam,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Láng Thượng,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Thượng,Đống Đa,Láng Thượng,Ha Noi,Dong Da,Lang Thuong,Ha Noi City,Dong Da District,Lang Thuong Ward,Dong Da,Lang Thuong,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Ô Chợ Dừa,Thành phố Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Đống Đa,Ô Chợ Dừa,Ha Noi,Dong Da,O Cho Dua,Ha Noi City,Dong Da District,O Cho Dua Ward,Dong Da,O Cho Dua,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Văn Chương,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Chương,Đống Đa,Văn Chương,Ha Noi,Dong Da,Van Chuong,Ha Noi City,Dong Da District,Van Chuong Ward,Dong Da,Van Chuong,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Hàng Bột,Thành phố Hà Nội,Quận Đống Đa,Phường Hàng Bột,Đống Đa,Hàng Bột,Ha Noi,Dong Da,Hang Bot,Ha Noi City,Dong Da District,Hang Bot Ward,Dong Da,Hang Bot,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Láng Hạ,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Hạ,Đống Đa,Láng Hạ,Ha Noi,Dong Da,Lang Ha,Ha Noi City,Dong Da District,Lang Ha Ward,Dong Da,Lang Ha,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Khâm Thiên,Thành phố Hà Nội,Quận Đống Đa,Phường Khâm Thiên,Đống Đa,Khâm Thiên,Ha Noi,Dong Da,Kham Thien,Ha Noi City,Dong Da District,Kham Thien Ward,Dong Da,Kham Thien,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Thổ Quan,Thành phố Hà Nội,Quận Đống Đa,Phường Thổ Quan,Đống Đa,Thổ Quan,Ha Noi,Dong Da,Tho Quan,Ha Noi City,Dong Da District,Tho Quan Ward,Dong Da,Tho Quan,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Nam Đồng,Thành phố Hà Nội,Quận Đống Đa,Phường Nam Đồng,Đống Đa,Nam Đồng,Ha Noi,Dong Da,Nam Dong,Ha Noi City,Dong Da District,Nam Dong Ward,Dong Da,Nam Dong,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Trung Phụng,Thành phố Hà Nội,Quận Đống Đa,Phường Trung Phụng,Đống Đa,Trung Phụng,Ha Noi,Dong Da,Trung Phung,Ha Noi City,Dong Da District,Trung Phung Ward,Dong Da,Trung Phung,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Quang Trung,Thành phố Hà Nội,Quận Đống Đa,Phường Quang Trung,Đống Đa,Quang Trung,Ha Noi,Dong Da,Quang Trung,Ha Noi City,Dong Da District,Quang Trung Ward,Dong Da,Quang Trung,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Trung Liệt,Thành phố Hà Nội,Quận Đống Đa,Phường Trung Liệt,Đống Đa,Trung Liệt,Ha Noi,Dong Da,Trung Liet,Ha Noi City,Dong Da District,Trung Liet Ward,Dong Da,Trung Liet,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Phương Liên,Thành phố Hà Nội,Quận Đống Đa,Phường Phương Liên,Đống Đa,Phương Liên,Ha Noi,Dong Da,Phuong Lien,Ha Noi City,Dong Da District,Phuong Lien Ward,Dong Da,Phuong Lien,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Thịnh Quang,Thành phố Hà Nội,Quận Đống Đa,Phường Thịnh Quang,Đống Đa,Thịnh Quang,Ha Noi,Dong Da,Thinh Quang,Ha Noi City,Dong Da District,Thinh Quang Ward,Dong Da,Thinh Quang,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Trung Tự,Thành phố Hà Nội,Quận Đống Đa,Phường Trung Tự,Đống Đa,Trung Tự,Ha Noi,Dong Da,Trung Tu,Ha Noi City,Dong Da District,Trung Tu Ward,Dong Da,Trung Tu,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Kim Liên,Thành phố Hà Nội,Quận Đống Đa,Phường Kim Liên,Đống Đa,Kim Liên,Ha Noi,Dong Da,Kim Lien,Ha Noi City,Dong Da District,Kim Lien Ward,Dong Da,Kim Lien,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Phương Mai,Thành phố Hà Nội,Quận Đống Đa,Phường Phương Mai,Đống Đa,Phương Mai,Ha Noi,Dong Da,Phuong Mai,Ha Noi City,Dong Da District,Phuong Mai Ward,Dong Da,Phuong Mai,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Ngã Tư Sở,Thành phố Hà Nội,Quận Đống Đa,Phường Ngã Tư Sở,Đống Đa,Ngã Tư Sở,Ha Noi,Dong Da,Nga Tu So,Ha Noi City,Dong Da District,Nga Tu So Ward,Dong Da,Nga Tu So,Quận,Phường,District,Ward
Hà Nội,Đống Đa,Khương Thượng,Thành phố Hà Nội,Quận Đống Đa,Phường Khương Thượng,Đống Đa,Khương Thượng,Ha Noi,Dong Da,Khuong Thuong,Ha Noi City,Dong Da District,Khuong Thuong Ward,Dong Da,Khuong Thuong,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Nguyễn Du,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,Hai Bà Trưng,Nguyễn Du,Ha Noi,Hai Ba Trung,Nguyen Du,Ha Noi City,Hai Ba Trung District,Nguyen Du Ward,Hai Ba Trung,Nguyen Du,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Bạch Đằng,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,Hai Bà Trưng,Bạch Đằng,Ha Noi,Hai Ba Trung,Bach Dang,Ha Noi City,Hai Ba Trung District,Bach Dang Ward,Hai Ba Trung,Bach Dang,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Phạm Đình Hổ,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Hai Bà Trưng,Phạm Đình Hổ,Ha Noi,Hai Ba Trung,Pham Dinh Ho,Ha Noi City,Hai Ba Trung District,Pham Dinh Ho Ward,Hai Ba Trung,Pham Dinh Ho,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Lê Đại Hành,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Lê Đại Hành,Hai Bà Trưng,Lê Đại Hành,Ha Noi,Hai Ba Trung,Le Dai Hanh,Ha Noi City,Hai Ba Trung District,Le Dai Hanh Ward,Hai Ba Trung,Le Dai Hanh,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Đồng Nhân,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đồng Nhân,Hai Bà Trưng,Đồng Nhân,Ha Noi,Hai Ba Trung,Dong Nhan,Ha Noi City,Hai Ba Trung District,Dong Nhan Ward,Hai Ba Trung,Dong Nhan,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Phố Huế,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phố Huế,Hai Bà Trưng,Phố Huế,Ha Noi,Hai Ba Trung,Pho Hue,Ha Noi City,Hai Ba Trung District,Pho Hue Ward,Hai Ba Trung,Pho Hue,Quận,Phường,District,Ward
Hà Nội,Hai Bà Trưng,Đống Mác,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Đống Mác,Hai Bà Trưng,Đống Mác,Ha Noi,Hai Ba Trung,Dong Mac,Ha Noi City,Hai Ba Trung District,Dong Mac Ward,Hai Ba Trung,Dong Mac,Quận,Phường,District,Ward
